id,Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Latitude_Longitude_Points,color,strokeColor
1,SGW,B,B Building,B Annex,2160 Bishop Street,45.497856,-73.579588,"[(45.497884198045455, -73.57938755922713), (45.49770697553931, -73.57956194673496),(45.497739963881536, -73.57963446432416),(45.49791941903412, -73.57946095508623)]","rgba(255, 0, 0, 0.35)
",red
2,SGW,H,H Building,Henry F. Hall Building,1455 DeMaisonneuve W,45.497092,-73.5788,"[(45.49737588028731, -73.57834483690762),(45.49684004779376, -73.57884905840206),(45.49716512204647, -73.57954652396438),(45.49770489205338, -73.5790341646074)]","rgba(218, 58, 22, 0.35)",orange
3,SGW,LB,LB Building,J.W. McConnell Building,1400 DeMaisonneuve W,45.49705,-73.578009,"[(45.49688893934024, -73.57730950423428),(45.496616325777474, -73.57755626745755),(45.49658248400174, -73.57765014477076),(45.496495999371355, -73.5774704367712),(45.49626098611784, -73.57770110674078),(45.496668968499336, -73.57856746023117),(45.496702810223084, -73.57853527372379),(45.496725371360974, -73.57858355348486),(45.49689081942919, -73.57841725653006),(45.496872018536855, -73.57837434118687),(45.49690962031527, -73.57833410805264),(45.49689457960691, -73.57829387491842),(45.496937821632635, -73.57825095957523),(45.49696414284942, -73.57829387491842),(45.49700174456637, -73.57825900620209),(45.4970167852461, -73.57829387491842),(45.49725555549892, -73.57805784053095),(45.4971408707007, -73.57782180614346),(45.49710326907667, -73.57784862823294),(45.49707694792492, -73.57779766626292),(45.49711266948503, -73.5777467042929),(45.49703746617419, -73.57759381838282),(45.49699986448111, -73.57762332268126),(45.49698106362515, -73.57757772512915),(45.497007384821735, -73.57754017420386)]","rgba(64, 224, 208, 0.35)",turquoise
4,LOY,BH,BH Building,BB-BH Annex,3500 Bermore Avenue,45.459819,-73.639152,"[(45.45969511683321, -73.63916810514488),(45.45966501553858, -73.63909166219297),(45.45975437871003, -73.6390179014499),(45.45978542062069, -73.63909166219297)]","rgba(255, 0, 0, 0.35)",red
5,LOY,CC,CC Building,Central Building,7141 Sherbrooke West,45.458204,-73.6403,"[(45.45851467822311, -73.64067899086554),(45.4582148740871, -73.63992303145739),(45.45809181968927, -73.64001553281956),(45.458387149792905, -73.640777871632)]","rgba(218, 58, 22, 0.35)",orange
7,LOY,CJ,CJ Building,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354,"[(45.45733689449515, -73.6407080515893),(45.457304910531434, -73.64063294973454),(45.45728045219399, -73.64065172519823),(45.45718450015241, -73.64039959754295),(45.457412150808764, -73.64021184290604),(45.457363234216324, -73.64007236803292),(45.457310554761634, -73.64004286373283),(45.45730302912123, -73.64006968582382),(45.45721272135807, -73.64001335943274),(45.457235298312426, -73.6398899778142),(45.45727668937193, -73.63981487595944),(45.457333131676826, -73.63977196061387),(45.45741591362182, -73.63977464282297),(45.45747235578735, -73.63982560479583),(45.45746294876369, -73.63994898641438),(45.45744413471165, -73.63994362199618),(45.4574328462774, -73.64002945268734),(45.45748364421369, -73.64015283430587),(45.457620986553, -73.64005627477833),(45.45772070064456, -73.64031644906089),(45.45775456576762, -73.6403003558063),(45.457826058738384, -73.64047738160681),(45.457652970337435, -73.64061685647994),(45.45759652835268, -73.6404988392796)]","rgba(218, 58, 22, 0.35)",orange
10,SGW,CL,CL Building,CL Annex,1665 Ste-Catherine W,45.494259,-73.579007,"[(45.494153,-73.579637),(45.494458,-73.579279),(45.494244,-73.578925),(45.493999,-73.579220),(45.493992,-73.579247),(45.493977,-73.579263),(45.493977,-73.579274), (45.493977,-73.579274), (45.493962,-73.579312), (45.493954,-73.579328), (45.494153,-73.579634)]","rgba(218, 58, 22, 0.35)",orange
11,SGW,D,D Building,D Annex,2140 Bishop Street,45.497827,-73.579409,"[(45.497684,-73.579409),(45.497699,-73.579452),(45.497846,-73.579318),(45.497804,-73.579243),(45.497710,-73.579334),(45.497725,-73.579372),(45.497684,-73.579409),(45.497703,-73.579452)]","rgba(218, 58, 22, 0.35)",orange
12,SGW,EN,EN Building,EN Annex,2070 Mackay Street,45.496944,-73.579555,"[(45.496684,-73.579734),(45.496706,-73.579783),(45.496951,-73.579568),(45.496924,-73.579514),(45.496909,-73.579520),(45.496891,-73.579482),(45.496789,-73.579589),(45.496800,-73.579622),(45.496687,-73.579734),(45.496714,-73.579793)]","rgba(255, 0, 0, 0.35)
",red
13,SGW,ER,ER Building,ER Building,2155 Guy Street,45.496428,-73.57999,"[(45.496225,-73.580382), (45.496669,-73.579963), (45.496507,-73.579633), (45.496128,-73.579998), (45.496229,-73.580385)]","rgba(255, 0, 0, 0.35)
",red
14,SGW,ES,ES Building,ES Building,2135 Guy Street,45.496172,-73.579922,"[(45.496116,-73.580014),(45.496286,-73.579848),(45.496260,-73.579778),(45.496087,-73.579939),(45.496113,-73.580015)]","rgba(255, 0, 0, 0.35)
",red
