id,Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude
1,SGW,B,B Building,B Annex,2160 Bishop Street,45.497856,-73.579588
2,SGW,H,H Building,Henry F. Hall Building,1455 DeMaisonneuve W,45.497092,-73.5788
3,SGW,LB,LB Building,J.W. McConnell Building,1400 DeMaisonneuve W,45.49705,-73.578009
4,LOY,BH,BH Building,BB-BH Annex,3500 Bermore Avenue,45.459819,-73.639152
5,LOY,CC,CC Building,Central Building,7141 Sherbrooke West,45.458204,-73.6403
6,SGW,CI,CI Building,CI Annex,2149 Mackay Street,45.497467,-73.579925
7,LOY,CJA,CJ Building - wing A,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354
8,LOY,CJN,CJ Building - wing N,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354
9,LOY,CJS,CJ Building - wing S,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354
10,SGW,CL,CL Building,CL Annex,1665 Ste-Catherine W,45.494259,-73.579007
11,SGW,D,D Building,D Annex,2140 Bishop Street,45.497827,-73.579409
12,SGW,EN,EN Building,EN Annex,2070 Mackay Street,45.496944,-73.579555
13,SGW,ER,ER Building,ER Building,2155 Guy Street,45.496428,-73.57999
14,SGW,ES,ES Building,ES Building,2135 Guy Street,45.496172,-73.579922
15,SGW,ET,ET Building,ET Building,2125-2127 Guy Street,45.496163,-73.579904
16,SGW,EV,EV Building,"Engineering, Computer Science and Visual Arts Integrated Complex",1515 Ste-Catherine W,45.495376,-73.577997
17,SGW,FA,FA Building,FA Annex,2060 Mackay Street,45.496874,-73.579468
18,SGW,FB,FB Building,Faubourg Building,1250 Guy Street,45.494666,-73.577603
19,LOY,FC,FC Building,F.C. Smith Building,7141 Sherbrooke West,45.458493,-73.639287
20,SGW,FG,FG Building,Faubourg Ste-Catherine Building,1610 Ste-Catherine,45.494381,-73.578425
21,SGW,GA,GA Building,Grey Nuns Annex,1211-1215 St-Mathieu,45.494123,-73.57787
22,LOY,GE,GE Building,Centre for Structural and Functional Genomics,7141 Sherbrooke W,45.457017,-73.640432
23,SGW,GM,GM Building,Guy-De Maisonneuve Building,1550 DeMaisonneuve W,45.495983,-73.578824
24,SGW,GNA,GN Building - wing A,Grey Nuns Building,1190 Guy Street,45.493622,-73.577003
25,SGW,GNB,"GN Building - wings B, C, D, E, F, G, P",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003
26,SGW,GNH,"GN Building - wings H, I, J, K",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003
27,SGW,GNL,"GN Building - wings L, M, N",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003
28,SGW,GS,GS Building,Guy-Sherbrooke Building,"1538, Sherbrooke W",45.496673,-73.581409
29,LOY,AD,AD Building,Administration Building,"7141, Sherbrooke West",45.457984,-73.639834
30,LOY,HA,HA Building,"Hingston Hall, wing HA",7141 Sherbrooke West,45.459356,-73.64127
31,LOY,HB,HB Building,"Hingston Hall, wing HB",7141 Sherbrooke West,45.459308,-73.641849
